"﻿""pitches""",player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle
699,624413,"Alonso, Pete",776,90.1,0.344,0.328,0.376,0.672,0.479,0.469,0.326,44,128,95.1,12.7,2273,88.9,88.92,65,309,390,0,6.43,107,149,123,145,305,323,297,-21.397,21.397,75.1,7.1,156,102,21,13,1,9,27,17.3,22,14.1,2.47896,0.49935,0.31563,0.13248,93.9,168,57.84313725490197,20.588235294117645,13.461538461538462,5.77,-1.21,0.14,2.23,0.455,21,3.061087268,0.441,0.682,-3.061087268,0.018,0.014000000000000012,-0.01,0.01,21,38.7
686,695578,"Wood, James",775,88.5,0.291,0.291,0.337,0.582,0.422,0.408,0.268,39,134,93.2,2.8,2271,89.2,89.33,77,269,417,0.09999999999999432,6.4,115,146,125,150,299,326,305,-10.76,10.76,72.9,7.5,157,96,20,9,0,10,38,24.2,22,14,2.41528,0.49216,0.37368,-0.10953,93.9,147,55.208333333333336,16.666666666666664,10.191082802547772,5.81,-0.47,-0.09,2.37,0.395,16,1.56851312,0.376,0.586,-1.56851312,0.023,0.019000000000000017,-0.004,0.014,28.6,36.0
678,646240,"Devers, Rafael",801,84.6,0.278,0.206,0.337,0.484,0.385,0.429,0.298,35,126,95.4,18.6,2246,89.8,89.92,104,331,346,0.10000000000000853,6.46,117,147,128,151,284,323,309,-7.8,7.8,70.5,7.5,153,94,19,11,0,5,34,22.2,24,15.7,2.06411,0.81569,0.47988,-0.27725,92.8,184,60.63829787234043,20.212765957446805,12.418300653594772,5.67,-0.65,-0.19,2.62,0.392,19,1.150442478,0.416,0.58,-1.150442478,-0.02,-0.023999999999999966,-0.096,-0.044,31.4,36.3
670,656305,"Chapman, Matt",720,93.1,0.215,0.19,0.267,0.405,0.348,0.372,0.249,26,121,94.7,20,2253,89.8,89.76,76,277,393,0,6.39,107,151,124,147,302,324,296,-4.231,4.231,73.0,7.4,149,81,15,5,0,6,40,26.8,28,18.8,2.16609,0.71121,0.37504,0.10798,92.7,166,56.79012345679012,9.876543209876543,5.369127516778524,5.92,-1,0.22,2.38,0.362,8,0.631492537,0.39,0.451,-0.631492537,-0.034,-0.028000000000000025,-0.046,-0.024,27.4,39.4
652,642715,"Adames, Willy",709,92,0.241,0.139,0.293,0.38,0.32,0.328,0.23,33,137,88.9,19.8,2273,89.9,89.79,73,300,352,-0.10000000000000853,6.35,109,151,123,146,300,323,295,-3.134,3.134,70.5,8.1,157,103,22,7,0,4,35,22.3,18,11.5,2.13761,0.73244,0.38035,0.03326,91.8,159,46.601941747572816,9.70873786407767,6.369426751592357,5.92,-0.59,0.18,2.39,0.331,10,0.480674847,0.325,0.42,-0.480674847,0.011,0.006000000000000005,-0.04,-0.008,24.3,38.5
648,665742,"Soto, Juan",732,88.5,0.256,0.202,0.262,0.457,0.362,0.438,0.318,33,129,93.5,7.4,2235,88.9,89.01,42,234,414,0.09999999999999432,6.47,115,145,125,151,300,323,303,-6.899,6.899,71.5,7.0,154,109,19,8,0,6,22,14.3,23,14.9,2.4038,0.52869,0.3515,-0.2544,94.3,158,54.12844036697248,12.844036697247708,9.090909090909092,5.69,-1.12,-0.11,2.17,0.364,14,1.064660494,0.419,0.62,-1.064660494,-0.062,-0.05499999999999999,-0.163,-0.076,17.9,36.3
640,663993,"Lowe, Nathaniel",722,88.6,0.234,0.141,0.306,0.375,0.318,0.333,0.257,30,128,89.3,11.4,2258,89.5,89.67,65,272,367,0.20000000000000284,6.38,114,146,124,148,294,324,304,0.126,-0.126,69.8,7.2,146,89,20,6,0,4,39,26.7,17,11.6,2.29736,0.58552,0.37951,-0.1888,92.0,163,42.69662921348314,5.617977528089887,3.4246575342465753,5.81,-0.7,-0.03,2.37,0.329,5,-0.0196875,0.35,0.396,0.0196875,-0.023,-0.020999999999999963,-0.021,-0.015,23.9,35.6
640,663457,"Nootbaar, Lars",724,88.4,0.235,0.152,0.265,0.386,0.333,0.346,0.253,31,132,90.5,16.9,2250,89.2,89.29,39,227,413,0.09999999999999432,6.45,118,146,110,150,294,320,304,-6.086,6.086,72.7,6.9,155,106,19,8,0,4,26,16.8,23,14.8,2.33031,0.59552,0.43433,-0.23462,92.7,166,48.113207547169814,11.320754716981133,7.741935483870968,5.76,-0.81,-0.32,2.33,0.348,12,0.9509375,0.364,0.415,-0.9509375,-0.018,-0.016000000000000014,-0.029,-0.013,17.2,37.5
637,672695,"Perdomo, Geraldo",724,88,0.278,0.183,0.278,0.461,0.382,0.35,0.251,32,115,86.3,15.2,2225,90.2,90.44,25,241,396,0.20000000000000284,6.53,114,146,106,149,294,322,296,-10.376,10.376,65.6,6.7,147,103,21,6,0,5,17,11.6,26,17.7,2.13086,0.71799,0.3822,-0.3822,90.8,152,33.00970873786408,5.825242718446602,4.081632653061225,5.82,-0.77,-0.1,2.41,0.404,6,1.6288854,0.385,0.397,-1.6288854,0.027,0.019000000000000017,0.064,0.032,10.4,39.0
635,596019,"Lindor, Francisco",703,90.3,0.309,0.201,0.321,0.511,0.389,0.378,0.294,43,139,89.1,11.5,2238,89,89.12,51,294,341,0.09999999999999432,6.48,116,146,114,150,298,321,299,-9.072,9.072,67.4,7.3,158,119,29,7,0,7,22,13.9,12,7.6,2.33825,0.59137,0.40005,-0.40005,92.4,149,42.857142857142854,8.403361344537815,6.329113924050633,5.74,-1.33,-0.08,2.35,0.38,10,1.428661417,0.371,0.496,-1.428661417,0.015,0.009000000000000008,0.015,0.011,17.3,37.6
